,Coast,State,Plastic Waste,Foam Waste,Fisherman's Waste,Smoking Waste Items,Misc Food Waste Items,Miscellaneous Waste Items
0,West Coast,Alaska,0,0,0,0,0,0.0
1,West Coast,"California, USA",51,45,0,27,14,4.0
2,West Coast,Hawaii,0,0,0,0,0,0.0
3,West Coast,Oregon,0,0,0,0,0,0.0
4,West Coast,Washington,0,0,0,0,0,0.0
5,East Coast,Alabama,0,0,0,0,0,0.0
6,East Coast,Connecticut,0,0,0,0,0,0.0
7,East Coast,Delaware,0,0,0,0,0,0.0
8,East Coast,Florida,0,0,0,0,0,0.0
9,East Coast,Georgia,0,0,0,0,0,0.0
10,East Coast,Louisiana,0,0,0,0,0,0.0
11,East Coast,Maine,0,0,0,0,0,0.0
12,East Coast,Maryland,0,0,0,0,0,0.0
13,East Coast,Massachusetts,0,0,0,0,0,0.0
14,East Coast,Mississippi,0,0,0,0,0,0.0
15,East Coast,New Hampshire,0,0,0,0,0,0.0
16,East Coast,New Jersey,0,0,0,0,0,0.0
17,East Coast,New York,0,0,0,0,0,0.0
18,East Coast,"North Carolina, USA",1034,255,110,2097,90,256.0
19,East Coast,Rhode Island,0,0,0,0,0,0.0
20,East Coast,South Carolina,0,0,0,0,0,0.0
21,East Coast,Texas,0,0,0,0,0,0.0
22,East Coast,"Virginia, USA",5,1,1,1,2,0.0
