,Alabama,Connecticut,Delaware,Florida,Georgia,Louisiana,Maine,Maryland,Massachusetts,Mississippi,New Hampshire,New Jersey,New York,North Carolina,Rhode Island,South Carolina,Texas,Virginia
2014,4849377,3596677,935614,19893297,10097343,4649676,1330089,5976407,6745408,2994079,1326813,8938175,19746227,9943964,1055173,4832482,26956958,8326289
2015,4858979,3590886,945934,20271272,10214860,4670724,1329328,6006401,6794422,2992333,1330608,8958013,19795791,10042802,1056298,4896146,27469114,8382993
2016,4863300,3576452,952065,20612439,10310371,4681666,1331479,6016447,6811779,2988726,1334795,8944469,19745289,10146788,1056426,4961119,27862596,8411808
2017,4874747,3588184,961939,20984400,10429379,4684333,1335907,6052177,6859819,2984100,1342795,9005644,19849399,10273419,1059639,5024369,28304596,8470020
2018,4887871,3572665,967171,21299325,10519475,4659978,1338404,6042718,6902149,2986530,1356458,8908520,19542209,10383620,1057315,5084127,28701845,8517685
