,Coast,State,Plastic Waste,Foam Waste,Fisherman's Waste,Smoking Waste Items,Misc Food Waste Items,Miscellaneous Waste Items
0,West Coast,"Alaska, USA",3566,4048,1199,2952,2504,3077.0
1,West Coast,"California, USA",329664,71838,9456,166950,134984,104137.0
2,West Coast,"Hawaii, USA",31126,8127,4954,9803,8195,9992.0
3,West Coast,"Oregon, USA",21463,5164,1304,7446,5845,4344.0
4,West Coast,"Washington, USA",26182,14084,1503,20641,11605,9262.0
5,East Coast,"Alabama, USA",40731,12157,1838,20095,19711,7201.0
6,East Coast,"Connecticut, USA",32152,127171,1882,19189,15452,5799.0
7,East Coast,"Delaware, USA",28168,4762,1661,9995,6862,3629.0
8,East Coast,"Florida, USA",398347,67152,15004,168563,102868,80594.0
9,East Coast,"Georgia, USA",73957,20588,3379,56843,25890,45300.0
10,East Coast,"Louisiana, USA",24311,3522,1267,3275,6391,4194.0
11,East Coast,"Maine, USA",14552,7291,3809,22590,5735,5135.0
12,East Coast,"Maryland, USA",33904,24929,458,4851,4951,2559.0
13,East Coast,"Massachusetts, USA",48104,840018,6804,28572,16989,12488.0
14,East Coast,"Mississippi, USA",63595,25044,2660,63959,27631,12285.0
15,East Coast,"New Hampshire, USA",7074,8294,2565,10478,2437,1768.0
16,East Coast,"New Jersey, USA",94512,11714,2785,21164,28946,18059.0
17,East Coast,"New York, USA",136367,43365,7286,40016,45060,41218.0
18,East Coast,"North Carolina, USA",33726,8498,1584,26133,15076,10629.0
19,East Coast,"Rhode Island, USA",58504,15267,5192,39400,23736,16177.0
20,East Coast,"South Carolina, USA",10846,1621,924,10097,5200,4787.0
21,East Coast,"Texas, USA",142967,20711,8799,38298,34826,25757.0
22,East Coast,"Virginia, USA",56846,17538,1425,20235,26969,12980.0
