,Coast,State,Plastic Waste,Foam Waste,Fisherman's Waste,Smoking Waste Items,Misc Food Waste Items,Miscellaneous Waste Items
0,West Coast,Alaska,0,0,0,0,0,0.0
1,West Coast,"California, USA",14158,10741,478,9490,5902,4034.0
2,West Coast,"Hawaii, USA",446,11,25,263,163,42.0
3,West Coast,"Oregon, USA",50,2,0,28,22,34.0
4,West Coast,Washington,0,0,0,0,0,0.0
5,East Coast,Alabama,0,0,0,0,0,0.0
6,East Coast,Connecticut,0,0,0,0,0,0.0
7,East Coast,"Delaware, USA",2,0,2,20,2,2.0
8,East Coast,"Florida, USA",10848,300,562,4566,2617,2810.0
9,East Coast,"Georgia, USA",9,0,0,0,4,6.0
10,East Coast,Louisiana,0,0,0,0,0,0.0
11,East Coast,Maine,0,0,0,0,0,0.0
12,East Coast,"Maryland, USA",14,0,2,44,7,3.0
13,East Coast,"Massachusetts, USA",470,5,125,35,118,108.0
14,East Coast,Mississippi,0,0,0,0,0,0.0
15,East Coast,"New Hampshire, USA",3,0,0,0,0,0.0
16,East Coast,New Jersey,0,0,0,0,0,0.0
17,East Coast,"New York, USA",55,0,0,0,15,8.0
18,East Coast,"North Carolina, USA",3828,282,239,2700,1630,1847.0
19,East Coast,"Rhode Island, USA",138,4,15,157,49,105.0
20,East Coast,"South Carolina, USA",2103,20,60,391,756,845.0
21,East Coast,"Texas, USA",3931,2557,775,270,601,950.0
22,East Coast,Virginia,0,0,0,0,0,0.0
