,Coast,State,Plastic Waste,Foam Waste,Fisherman's Waste,Smoking Waste Items,Misc Food Waste Items,Miscellaneous Waste Items
0,West Coast,"Alaska, USA",3306,2179,1499,2989,2179,1588.0
1,West Coast,"California, USA",282748,95337,10223,210596,134233,82780.0
2,West Coast,"Hawaii, USA",39846,10246,6501,29897,16745,12826.0
3,West Coast,"Oregon, USA",6685,2776,414,6355,3711,1333.0
4,West Coast,"Washington, USA",18411,10780,1214,14150,9535,8143.0
5,East Coast,"Alabama, USA",40114,14084,2479,31878,24598,8793.0
6,East Coast,"Connecticut, USA",2744,464,142,1577,1302,660.0
7,East Coast,"Delaware, USA",23069,3849,1379,15102,9803,3159.0
8,East Coast,"Florida, USA",402730,103749,22196,247842,137299,63700.0
9,East Coast,"Georgia, USA",14567,792,5372,34377,9930,6625.0
10,East Coast,"Louisiana, USA",19629,2995,366,5819,7787,4771.0
11,East Coast,"Maine, USA",17692,7824,4858,27734,8350,5288.0
12,East Coast,"Maryland, USA",32236,19065,2683,7925,10252,4940.0
13,East Coast,"Massachusetts, USA",47586,11491,7291,46409,21633,14639.0
14,East Coast,"Mississippi, USA",44969,11887,1851,31659,22577,12628.0
15,East Coast,"New Hampshire, USA",8377,3737,2145,26095,3468,2996.0
16,East Coast,"New Jersey, USA",47315,10842,1064,10834,18695,5546.0
17,East Coast,"New York, USA",114679,26859,6304,57291,57984,31029.0
18,East Coast,"North Carolina, USA",27309,7362,1134,46079,14008,7832.0
19,East Coast,"Rhode Island, USA",46394,10619,3901,49311,23290,15213.0
20,East Coast,"South Carolina, USA",35983,12980,2718,37472,16898,14144.0
21,East Coast,"Texas, USA",121683,22985,8736,71838,25745,12363.0
22,East Coast,"Virginia, USA",63238,15828,2016,41464,28114,17773.0
